well,red_vol,yellow_vol,blue_vol,water_vol,measured_red,measured_green,measured_blue
G12,0,0,80,120,110.86918640136719,134.784912109375,120.72705078125
H1,0,0,200,0,70.94781494140625,121.5943603515625,118.41621398925781
H2,0,200,0,0,142.58798217773438,141.89480590820312,46.615421295166016
H3,67,106,0,27,126.59242248535156,76.74149322509766,16.519596099853516
H4,0,0,80,120,104.27372741699219,142.64466857910156,131.10205078125
H5,0,80,0,120,134.4503631591797,135.0791778564453,44.84038162231445
H6,119,27,20,34,95.919189453125,40.857547760009766,18.523487091064453
H7,0,200,0,0,132.85804748535156,124.89157104492188,19.293420791625977
H8,0,140,0,60,135.38560485839844,134.16064453125,35.290618896484375
H9,122,0,76,2,59.573944091796875,37.440208435058594,36.1538200378418
H10,200,0,0,0,106.1700439453125,46.2966194152832,35.99685287475586
H11,0,173,26,1,129.4463653564453,136.878662109375,42.318851470947266
H12,0,95,0,105,142.12242126464844,145.3883819580078,57.78907012939453
H12',0,0,0,0,142.03546142578125,140.11094665527344,44.633792877197266
H11',0,0,0,0,118.08446502685547,49.58818817138672,40.80694580078125
H10',0,0,0,0,145.9795684814453,160.96328735351562,61.71113967895508
H9',0,0,0,0,137.06918334960938,139.6830596923828,50.987152099609375
H8',0,0,0,0,141.93707275390625,117.4988784790039,27.731796264648438
H7',0,0,0,0,134.18582153320312,135.44712829589844,87.19342041015625
H6',0,0,0,0,143.078857421875,93.4485855102539,24.204160690307617
H5',0,0,0,0,129.10037231445312,68.12918090820312,60.990379333496094
H4',0,0,0,0,77.14515686035156,134.6660919189453,132.58062744140625
H3',0,0,0,0,147.75259399414062,152.0098876953125,133.29449462890625
H2',0,0,0,0,127.29060363769531,64.6632308959961,56.94173812866211
H1',0,0,0,0,81.68820190429688,71.74820709228516,74.12775421142578
G12',0,0,0,0,137.25013732910156,93.11825561523438,82.75086212158203
G11',0,0,0,0,129.8789520263672,147.2467041015625,131.1036376953125
G10',0,0,0,0,110.30728149414062,53.61274719238281,45.57623291015625
G9',0,0,0,0,147.78875732421875,140.67063903808594,124.66026306152344
G8',0,0,0,0,57.53346252441406,112.77778625488281,113.2806167602539
G7',0,0,0,0,151.44212341308594,155.8903350830078,59.636688232421875
G6',0,0,0,0,141.86978149414062,141.94146728515625,37.15562438964844
G5',0,0,0,0,144.97369384765625,100.02853393554688,88.88326263427734
G4',0,0,0,0,141.69329833984375,141.56097412109375,39.445674896240234
G3',0,0,0,0,128.43077087402344,141.4871063232422,42.48002243041992
G2',0,0,0,0,144.01815795898438,170.517578125,81.051025390625
G1',0,0,0,0,172.56166076660156,175.5785369873047,155.5990447998047
F12',0,0,0,0,168.48641967773438,175.36582946777344,131.8131561279297
F11',0,0,0,0,169.8165740966797,178.2716827392578,133.17697143554688
F10',0,0,0,0,74.43281555175781,142.19985961914062,140.19619750976562
F9',0,0,0,0,75.09877014160156,139.77676391601562,140.2989959716797
F8',0,0,0,0,169.50112915039062,174.110107421875,156.5437774658203
F7',0,0,0,0,169.78504943847656,176.9484100341797,59.24174118041992
F6',0,0,0,0,85.25172424316406,158.76658630371094,153.97254943847656
F5',0,0,0,0,160.4357452392578,164.9376678466797,49.9700813293457
F4',0,0,0,0,153.325439453125,144.07823181152344,128.89842224121094
F3',0,0,0,0,159.5252227783203,121.44352722167969,112.40791320800781
F2',0,0,0,0,168.19430541992188,183.67164611816406,167.703369140625
F1',0,0,0,0,64.66838836669922,128.14007568359375,127.89729309082031
E12',0,0,0,0,131.17379760742188,156.27894592285156,125.49697875976562
E11',0,0,0,0,141.3896942138672,144.99664306640625,45.80717849731445
E10',0,0,0,0,104.02091217041016,139.7806854248047,127.13679504394531
E9',0,0,0,0,131.8770751953125,132.23052978515625,24.49557876586914
E8',0,0,0,0,97.93497467041016,132.82809448242188,71.12934112548828
E7',0,0,0,0,94.81266021728516,52.23681640625,50.379146575927734
E6',0,0,0,0,171.1540069580078,173.68701171875,126.54997253417969
E5',0,0,0,0,119.27552795410156,51.72090530395508,46.32957077026367
E4',0,0,0,0,116.92073059082031,143.95498657226562,133.5940399169922
